"x","y"
390.3332,0
399.5397,0.0365
409.2722,0.0856
414.5331,0.115
422.1613,0.1738
427.1389,0.2255
429.8638,0.2619
433.5733,0.3202
436.9457,0.3905
439.9808,0.4602
442.51,0.5345
445.0393,0.6356
447.3999,0.723
450.435,0.7916
453.6388,0.8482
455.8308,0.8841
458.0228,0.9167
460.2148,0.9441
462.5755,0.9622
466.0894,0.988
469.9036,0.9991
472.0079,1
475.0329,0.992
478.4524,0.9661
481.4774,0.9452
484.897,0.8988
487.0013,0.8757
488.8426,0.8409
490.8154,0.8048
492.9198,0.766
495.0241,0.7246
496.8654,0.6698
499.2328,0.6096
501.6002,0.5401
504.3621,0.4545
507.7817,0.3543
509.886,0.2834
511.0697,0.254
512.5164,0.2299
514.4893,0.2059
516.4621,0.1791
519.224,0.1511
522.3805,0.1225
525.274,0.0994
528.9566,0.0695
532.3762,0.0468
535.7957,0.0201
539.7413,-0.0013
