"x","y"
351.3707,0.1252
364.3923,0.1432
384.9528,0.1745
399.3452,0.1994
417.1643,0.238
434.9834,0.2891
449.3757,0.3306
455.5439,0.3582
462.3974,0.3872
468.5655,0.4107
476.1044,0.4452
479.5311,0.4673
485.6993,0.5612
489.126,0.6206
493.2381,0.6938
497.3502,0.7477
501.4623,0.796
507.6305,0.843
511.7426,0.8789
517.2254,0.9079
524.0789,0.9452
534.3591,0.9715
544.6394,0.9866
551.4929,0.9922
561.0878,0.9866
571.368,0.9715
577.5362,0.9549
583.019,0.9383
587.1311,0.9148
595.3553,0.89
602.8941,0.8651
606.3209,0.8444
609.0623,0.8278
615.2304,0.8071
620.7132,0.7698
627.5667,0.7215
636.4763,0.6703
641.2737,0.6413
645.3858,0.6082
650.1832,0.5778
654.2953,0.5543
659.0928,0.5295
661.8342,0.5018
667.317,0.4728
673.4851,0.4397
681.024,0.3996
690.6189,0.3541
702.9552,0.3043
713.9208,0.2684
723.5157,0.2339
733.7959,0.2035
741.3348,0.1731
749.559,0.1552
760.5246,0.1331
771.4902,0.1054
784.5118,0.0829
794.7921,0.0668
809.1844,0.0516
