"x","y"
0,0.0008
1,0.0008
2,0.0009
3,0.001
4,0.0011
5,0.0012
6,0.0013
7,0.0014
8,0.0031
9,0.0083
10,0.0156
11,0.0233
12,0.0309
13,0.0386
14,0.0463
15,0.0535
16,0.06
17,0.0658
18,0.0716
19,0.0773
20,0.0842
21,0.0958
22,0.1133
23,0.1332
24,0.1537
25,0.1748
26,0.1961
27,0.2174
28,0.2388
29,0.2601
30,0.2814
31,0.3027
32,0.324
33,0.3453
34,0.3666
35,0.3879
36,0.4092
37,0.4299
38,0.4491
39,0.467
40,0.4846
41,0.5022
42,0.5198
43,0.5374
44,0.555
45,0.5726
46,0.5894
47,0.6048
48,0.6194
49,0.634
50,0.6486
51,0.6632
52,0.6778
53,0.6924
54,0.707
55,0.7212
56,0.7341
57,0.746
58,0.7574
59,0.7689
60,0.7803
61,0.7918
62,0.8033
63,0.814
64,0.823
65,0.8309
66,0.838
67,0.8436
68,0.8472
69,0.8493
70,0.85
71,0.85
72,0.85
73,0.85
74,0.8491
75,0.8459
76,0.8403
77,0.8327
78,0.8215
79,0.8066
80,0.7883
81,0.7666
82,0.7413
83,0.7116
84,0.6792
85,0.6455
86,0.6084
87,0.567
88,0.5228
89,0.4771
90,0.438
91,0.4
92,0.3508
93,0.3049
94,0.2678
95,0.2329
96,0.2005
97,0.1705
98,0.1446
99,0.1279
