Wavelength (nm),Normalized Spectral Power Distribution
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0.00050005
381,0
382,0.00060006
383,0.00090009
384,0.00010001
385,0.00080008
386,0.00060006
387,0
388,0.00010001
389,0.00030003
390,0
391,0.00020002
392,0
393,0.00010001
394,0.00030003
395,0.00050005
396,0.00050005
397,0.00010001
398,0
399,0.00010001
400,0
401,0
402,0.00010001
403,0.00020002
404,0.00010001
405,0
406,0.00020002
407,0.00010001
408,0
409,0.00030003
410,0.00010001
411,0.00010001
412,0.00010001
413,0
414,0
415,0.00020002
416,0.00030003
417,0
418,0
419,0.00030003
420,0.00020002
421,0.00040004
422,0.00030003
423,0.00020002
424,0.00030003
425,0.00020002
426,0.00020002
427,0.00030003
428,0.00030003
429,0.00010001
430,0
431,0.00010001
432,0.00020002
433,0.00020002
434,0.00050005
435,0.00050005
436,0.00020002
437,0.00050005
438,0.00040004
439,0.00020002
440,0.00050005
441,0.00040004
442,0.00050005
443,0.00050005
444,0.00070007
445,0.00080008
446,0.00060006
447,0.00090009
448,0.00120012
449,0.00110011
450,0.00110011
451,0.00120012
452,0.00160016
453,0.00150015
454,0.00180018
455,0.00190019
456,0.00210021
457,0.00250025
458,0.00270027
459,0.00310031
460,0.00340034
461,0.00380038
462,0.00450045
463,0.0050005
464,0.00570057
465,0.00630063
466,0.00710071
467,0.00770077
468,0.00910091
469,0.01020102
470,0.01130113
471,0.01290129
472,0.01430143
473,0.01630163
474,0.01790179
475,0.02030203
476,0.02290229
477,0.02560256
478,0.02820282
479,0.03150315
480,0.03530353
481,0.03970397
482,0.04460446
483,0.04890489
484,0.054305431
485,0.060206021
486,0.067306731
487,0.074407441
488,0.081808181
489,0.090809081
490,0.099909991
491,0.109810981
492,0.120812081
493,0.132913291
494,0.145814581
495,0.159915992
496,0.174717472
497,0.191119112
498,0.207520752
499,0.227122712
500,0.245424542
501,0.268126813
502,0.291329133
503,0.317031703
504,0.344234423
505,0.372937294
506,0.403240324
507,0.436243624
508,0.469446945
509,0.506350635
510,0.542954295
511,0.582158216
512,0.624962496
513,0.666766677
514,0.709070907
515,0.750275028
516,0.790179018
517,0.830183018
518,0.867186719
519,0.901390139
520,0.929792979
521,0.9549955
522,0.97639764
523,0.989999
524,0.99749975
525,1
526,0.99809981
527,0.98849885
528,0.97309731
529,0.95679568
530,0.932193219
531,0.902790279
532,0.874887489
533,0.844884488
534,0.813081308
535,0.779777978
536,0.745574557
537,0.716271627
538,0.682868287
539,0.652265227
540,0.621762176
541,0.592359236
542,0.565056506
543,0.539353935
544,0.512751275
545,0.488248825
546,0.462646265
547,0.438843884
548,0.416641664
549,0.392639264
550,0.371237124
551,0.350935094
552,0.329632963
553,0.310931093
554,0.291729173
555,0.273627363
556,0.256225623
557,0.240024002
558,0.224722472
559,0.210421042
560,0.197219722
561,0.185318532
562,0.173417342
563,0.162816282
564,0.152715272
565,0.143114311
566,0.134113411
567,0.125312531
568,0.117711771
569,0.109910991
570,0.103210321
571,0.096809681
572,0.090509051
573,0.085008501
574,0.079707971
575,0.074507451
576,0.069706971
577,0.065106511
578,0.060806081
579,0.056805681
580,0.053005301
581,0.04970497
582,0.04630463
583,0.04340434
584,0.04060406
585,0.03810381
586,0.03550355
587,0.03340334
588,0.03130313
589,0.02910291
590,0.02740274
591,0.02530253
592,0.02380238
593,0.02250225
594,0.02090209
595,0.01960196
596,0.01850185
597,0.01730173
598,0.01660166
599,0.01550155
600,0.01450145
601,0.01360136
602,0.01270127
603,0.01210121
604,0.01130113
605,0.01070107
606,0.010001
607,0.00980098
608,0.00910091
609,0.00860086
610,0.00810081
611,0.00760076
612,0.00710071
613,0.00670067
614,0.00630063
615,0.00590059
616,0.00550055
617,0.00530053
618,0.00490049
619,0.00460046
620,0.00440044
621,0.00420042
622,0.0040004
623,0.00370037
624,0.00360036
625,0.00330033
626,0.00320032
627,0.00310031
628,0.00280028
629,0.00280028
630,0.00270027
631,0.00250025
632,0.00230023
633,0.00220022
634,0.00210021
635,0.00210021
636,0.0020002
637,0.00180018
638,0.00170017
639,0.00170017
640,0.00160016
641,0.00160016
642,0.00140014
643,0.00140014
644,0.00130013
645,0.00120012
646,0.00120012
647,0.00110011
648,0.00110011
649,0.00110011
650,0.0010001
651,0.00090009
652,0.0010001
653,0.00080008
654,0.00080008
655,0.00080008
656,0.00080008
657,0.00080008
658,0.00080008
659,0.00070007
660,0.00060006
661,0.00070007
662,0.00060006
663,0.00050005
664,0.00060006
665,0.00060006
666,0.00060006
667,0.00050005
668,0.00050005
669,0.00050005
670,0.00040004
671,0.00050005
